epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.17189,1.80069,3.69703,2.10376,0.00333,1,0.44211,0.286,1.79576,3.29463,2.5401,0,0,0
2,4.47905,1.73892,3.53688,2.17022,0.00333,1,0.44711,0.29021,1.78709,3.27272,2.53841,1.802e-05,1.802e-05,1.802e-05
3,5.79899,1.69084,3.65266,2.36768,0.00333,1,0.45147,0.29454,1.78878,3.31278,2.60669,3.208e-05,3.208e-05,3.208e-05
4,7.06429,1.97809,3.80832,2.21991,0.00333,1,0.47937,0.29069,1.7258,3.38066,2.61531,4.218e-05,4.218e-05,4.218e-05
5,8.37609,1.50136,3.69242,1.7798,0.00333,1,0.47643,0.26861,1.66246,3.38925,2.66331,4.832e-05,4.832e-05,4.832e-05
6,9.66331,1.75052,3.43465,2.25002,0.00333,1,0.555,0.28441,1.64367,3.40061,2.61497,5.05e-05,5.05e-05,5.05e-05
7,11.0323,1.24272,3.44702,1.7713,0.00333,1,0.555,0.28608,1.71582,3.33801,2.58173,4.872e-05,4.872e-05,4.872e-05
8,12.3601,1.48984,3.39157,1.81339,0.00333,1,0.665,0.33576,1.79014,3.30802,2.57242,4.298e-05,4.298e-05,4.298e-05
9,13.702,1.46963,3.2599,1.82699,0.00333,1,0.731,0.35995,1.8236,3.27149,2.5266,3.328e-05,3.328e-05,3.328e-05
10,14.9855,1.58355,3.38905,1.90839,0.00333,1,0.731,0.36049,1.84029,3.25818,2.50976,1.962e-05,1.962e-05,1.962e-05
