epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.55832,1.79428,3.11389,1.99619,0.0025,1,0.30662,0.13183,1.71713,4.19262,2.52185,0,0,0
2,2.91652,1.94796,3.96141,2.35903,0.0025,1,0.30944,0.1323,1.73272,4.22394,2.60534,1.82e-05,1.82e-05,1.82e-05
3,4.2732,2.0677,3.84148,2.16545,0.0025,1,0.3105,0.13289,1.74213,4.25922,2.63024,3.28e-05,3.28e-05,3.28e-05
4,5.60937,1.83809,3.46879,2.1492,0.0025,1,0.30893,0.13418,1.75899,4.37804,2.64593,4.38e-05,4.38e-05,4.38e-05
5,6.93815,1.40082,3.64939,1.77161,0.0025,1,0.36138,0.14941,1.71401,4.50642,2.63461,5.12e-05,5.12e-05,5.12e-05
6,8.32304,1.69519,3.40412,2.07059,0.0025,1,0.3655,0.14906,1.65416,4.54469,2.80073,5.5e-05,5.5e-05,5.5e-05
7,9.71012,1.57216,3.43888,1.90014,0.0025,1,0.2995,0.12904,1.6593,4.4529,2.84048,5.52e-05,5.52e-05,5.52e-05
8,11.0777,1.30118,3.48982,1.77285,0.0025,1,0.31981,0.13534,1.59558,4.41553,2.70146,5.18e-05,5.18e-05,5.18e-05
9,12.4876,1.64528,3.20859,2.05873,0.0025,1,0.3325,0.15061,1.62878,4.44248,2.67298,4.48e-05,4.48e-05,4.48e-05
10,13.8565,1.37393,3.15013,1.82587,0.0025,1,0.3325,0.15229,1.6671,4.34655,2.65097,3.42e-05,3.42e-05,3.42e-05
11,15.2231,1.25962,3.09659,1.71371,0.0025,1,0.3325,0.1529,1.68541,4.30257,2.63525,2e-05,2e-05,2e-05
